timestamp_s,gesture,command,linear_x,angular_z
57.895,open_hand,FORWARD,0.300,0.000
58.423,open_hand,FORWARD,0.300,0.000
59.057,open_hand,FORWARD,0.300,0.000
59.693,open_hand,FORWARD,0.300,0.000
60.287,open_hand,FORWARD,0.300,0.000
60.920,open_hand,FORWARD,0.300,0.000
61.491,open_hand,FORWARD,0.300,0.000
62.108,open_hand,STOP,0.000,0.000
62.697,closed_fist,STOP,0.000,0.000
63.636,closed_fist,STOP,0.000,0.000
64.264,closed_fist,STOP,0.000,0.000
64.887,closed_fist,STOP,0.000,0.000
65.473,closed_fist,STOP,0.000,0.000
67.780,thumbs_up,LEFT,0.000,0.500
68.302,thumbs_up,LEFT,0.000,0.500
68.904,thumbs_up,LEFT,0.000,0.500
69.410,thumbs_up,LEFT,0.000,0.500
70.013,thumbs_up,LEFT,0.000,0.500
70.583,thumbs_up,LEFT,0.000,0.500
71.251,peace_sign,RIGHT,0.000,-0.500
71.834,peace_sign,RIGHT,0.000,-0.500
72.415,peace_sign,RIGHT,0.000,-0.500
72.977,peace_sign,RIGHT,0.000,-0.500
73.596,peace_sign,RIGHT,0.000,-0.500
74.069,pointing,BACKWARD,-0.200,0.000
74.657,pointing,BACKWARD,-0.200,0.000
75.296,pointing,BACKWARD,-0.200,0.000
75.853,pointing,BACKWARD,-0.200,0.000
76.481,pointing,BACKWARD,-0.200,0.000
77.050,open_hand,FORWARD,0.300,0.000
77.615,open_hand,FORWARD,0.300,0.000
78.219,open_hand,FORWARD,0.300,0.000
78.793,open_hand,FORWARD,0.300,0.000
79.383,open_hand,FORWARD,0.300,0.000
80.352,closed_fist,STOP,0.000,0.000
80.957,closed_fist,STOP,0.000,0.000
81.574,closed_fist,STOP,0.000,0.000
82.185,closed_fist,STOP,0.000,0.000
82.844,closed_fist,STOP,0.000,0.000
83.605,open_hand,FORWARD,0.300,0.000
85.210,thumbs_up,LEFT,0.000,0.500
85.920,open_hand,FORWARD,0.300,0.000
86.530,open_hand,FORWARD,0.300,0.000
87.137,open_hand,FORWARD,0.300,0.000
87.760,open_hand,FORWARD,0.300,0.000
88.382,open_hand,FORWARD,0.300,0.000
88.945,peace_sign,RIGHT,0.000,-0.500
89.447,peace_sign,RIGHT,0.000,-0.500
90.042,peace_sign,RIGHT,0.000,-0.500
90.651,peace_sign,RIGHT,0.000,-0.500
91.263,peace_sign,RIGHT,0.000,-0.500
94.475,thumbs_up,LEFT,0.000,0.500
95.091,thumbs_up,LEFT,0.000,0.500
95.718,thumbs_up,LEFT,0.000,0.500
96.321,thumbs_up,LEFT,0.000,0.500
96.779,pointing,BACKWARD,-0.200,0.000
97.282,pointing,BACKWARD,-0.200,0.000
97.857,pointing,BACKWARD,-0.200,0.000
98.468,pointing,BACKWARD,-0.200,0.000
